epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,57.9389,0.78859,0.5604,1.40052,0.82668,0.77322,0.8544,0.61933,1.0163,0.84745,1.70983,0.0016502,0.0016502,0.0016502
55,58.9088,0.76516,0.56347,1.43081,0.82167,0.77422,0.84909,0.61392,1.01289,0.85939,1.708,0.0016436,0.0016436,0.0016436
56,59.927,0.76433,0.54866,1.39403,0.79705,0.79645,0.84762,0.59913,1.03115,0.86961,1.67846,0.001637,0.001637,0.001637
57,60.9551,0.75533,0.56278,1.41093,0.79622,0.80065,0.84844,0.60202,1.02805,0.85944,1.68512,0.0016304,0.0016304,0.0016304
58,62.1051,0.74814,0.53604,1.37162,0.8447,0.80248,0.87398,0.63516,0.9994,0.81382,1.65007,0.0016238,0.0016238,0.0016238
59,63.1062,0.7322,0.54154,1.35162,0.85638,0.79508,0.87451,0.63426,0.99448,0.80037,1.63996,0.0016172,0.0016172,0.0016172
60,64.0892,0.74115,0.55105,1.38375,0.79503,0.8107,0.85618,0.60468,1.00968,0.87672,1.69471,0.0016106,0.0016106,0.0016106
61,65.0743,0.71436,0.53574,1.3308,0.81168,0.75546,0.83552,0.58842,1.01074,0.91594,1.69124,0.001604,0.001604,0.001604
62,66.0626,0.75309,0.56246,1.37172,0.84015,0.78263,0.85972,0.61661,1.00454,0.85054,1.68247,0.0015974,0.0015974,0.0015974
63,67.025,0.75129,0.54527,1.3682,0.85221,0.78279,0.86989,0.6286,0.98531,0.818,1.68661,0.0015908,0.0015908,0.0015908
64,68.0226,0.70023,0.53631,1.35341,0.85672,0.80868,0.88654,0.64715,0.97685,0.76004,1.66543,0.0015842,0.0015842,0.0015842
65,68.9778,0.74105,0.53637,1.40335,0.88304,0.79421,0.88396,0.6429,1.01074,0.75253,1.65978,0.0015776,0.0015776,0.0015776
66,69.9428,0.76381,0.54643,1.34775,0.84526,0.80592,0.87462,0.64564,0.96407,0.76717,1.66154,0.001571,0.001571,0.001571
67,70.973,0.71354,0.51709,1.34718,0.84597,0.76639,0.85732,0.61827,0.98154,0.82436,1.72263,0.0015644,0.0015644,0.0015644
68,72.074,0.73841,0.54156,1.39269,0.7638,0.82166,0.85053,0.61892,0.99835,0.84769,1.68649,0.0015578,0.0015578,0.0015578
69,73.1575,0.74226,0.54024,1.3433,0.81656,0.79508,0.86082,0.62914,1.01068,0.80944,1.66291,0.0015512,0.0015512,0.0015512
70,74.1535,0.73567,0.50872,1.33607,0.83104,0.83992,0.87902,0.64756,0.98867,0.75409,1.66871,0.0015446,0.0015446,0.0015446
71,75.122,0.74126,0.52282,1.36872,0.84329,0.83071,0.88645,0.65246,0.97344,0.7466,1.69196,0.001538,0.001538,0.001538
72,76.1211,0.70315,0.50881,1.38327,0.8777,0.80328,0.89504,0.6567,0.99787,0.75022,1.67605,0.0015314,0.0015314,0.0015314
73,77.0813,0.71771,0.5247,1.34775,0.87329,0.81912,0.89355,0.66257,0.97641,0.7543,1.63498,0.0015248,0.0015248,0.0015248
74,78.0761,0.7224,0.53861,1.36553,0.81711,0.81787,0.8721,0.63997,1.00944,0.80393,1.70937,0.0015182,0.0015182,0.0015182
75,79.0435,0.73907,0.54175,1.38107,0.81736,0.81421,0.86723,0.6317,1.01677,0.81454,1.73204,0.0015116,0.0015116,0.0015116
76,80.0144,0.68892,0.50124,1.33886,0.84033,0.81967,0.87529,0.64594,0.98998,0.77477,1.65374,0.001505,0.001505,0.001505
77,80.9754,0.72457,0.51131,1.29593,0.85808,0.80874,0.87362,0.64353,1.00152,0.77033,1.66842,0.0014984,0.0014984,0.0014984
78,81.9728,0.70565,0.51963,1.34541,0.829,0.81464,0.86588,0.63754,0.99814,0.7804,1.70474,0.0014918,0.0014918,0.0014918
79,82.9232,0.72402,0.53873,1.412,0.81905,0.82923,0.8684,0.63557,1.00058,0.76216,1.68394,0.0014852,0.0014852,0.0014852
80,83.9073,0.7614,0.53257,1.36067,0.85067,0.80935,0.87841,0.63938,1.00015,0.73096,1.65297,0.0014786,0.0014786,0.0014786
81,84.857,0.72395,0.52355,1.30411,0.81637,0.81831,0.87397,0.62567,1.01798,0.76437,1.6984,0.001472,0.001472,0.001472
82,85.8564,0.6805,0.50816,1.31364,0.76171,0.81661,0.84209,0.56948,1.06957,0.93033,1.83316,0.0014654,0.0014654,0.0014654
83,86.8299,0.68459,0.50892,1.35967,0.78014,0.81284,0.84507,0.58313,1.03611,0.93182,1.75495,0.0014588,0.0014588,0.0014588
84,87.7916,0.70153,0.50339,1.32619,0.85149,0.79781,0.87715,0.62618,1.00918,0.83041,1.64013,0.0014522,0.0014522,0.0014522
85,88.7644,0.71654,0.50789,1.30277,0.85905,0.82787,0.88804,0.63554,1.00457,0.81776,1.64503,0.0014456,0.0014456,0.0014456
86,89.7421,0.67423,0.48734,1.32109,0.86414,0.80811,0.88391,0.63456,1.00059,0.8083,1.67627,0.001439,0.001439,0.001439
87,90.6917,0.69215,0.51645,1.3105,0.84689,0.82363,0.88395,0.63752,0.98272,0.79686,1.64413,0.0014324,0.0014324,0.0014324
88,91.6578,0.71125,0.51356,1.3058,0.84691,0.79353,0.87369,0.62196,0.99655,0.78157,1.63885,0.0014258,0.0014258,0.0014258
89,92.6311,0.70409,0.52322,1.31569,0.82418,0.79918,0.86665,0.62122,0.97444,0.78463,1.66423,0.0014192,0.0014192,0.0014192
90,93.5908,0.7107,0.5188,1.37087,0.79258,0.84564,0.86479,0.62134,0.99369,0.79577,1.75362,0.0014126,0.0014126,0.0014126
91,94.5576,0.70632,0.52176,1.34988,0.81296,0.84314,0.87971,0.63486,0.96936,0.77093,1.70955,0.001406,0.001406,0.001406
92,95.5355,0.68998,0.49174,1.32441,0.84579,0.83197,0.89017,0.6451,0.99314,0.73072,1.68988,0.0013994,0.0013994,0.0013994
93,96.4735,0.71252,0.51494,1.32606,0.85227,0.79645,0.88351,0.64215,0.98247,0.73889,1.70646,0.0013928,0.0013928,0.0013928
94,97.4587,0.67781,0.50898,1.33382,0.80703,0.82377,0.86973,0.62681,0.995,0.77496,1.74247,0.0013862,0.0013862,0.0013862
95,98.4077,0.69223,0.50613,1.36498,0.80954,0.81284,0.87596,0.63865,0.97558,0.76639,1.70353,0.0013796,0.0013796,0.0013796
96,99.4113,0.7143,0.5191,1.3686,0.8102,0.81057,0.87294,0.64199,0.99383,0.76195,1.63958,0.001373,0.001373,0.001373
97,100.374,0.70877,0.5081,1.29197,0.81806,0.79372,0.86452,0.63713,0.98825,0.77638,1.64057,0.0013664,0.0013664,0.0013664
98,101.363,0.65445,0.47763,1.27211,0.84964,0.76913,0.86431,0.63153,0.97282,0.78947,1.67843,0.0013598,0.0013598,0.0013598
99,102.322,0.67888,0.49688,1.32663,0.81889,0.80055,0.8668,0.63069,0.98296,0.78501,1.68763,0.0013532,0.0013532,0.0013532
